run,method,depth,iterations,inner_time,outer_time
1,compute_iterations,15,158,5.000,17.0138062
1,compute_iterations,15,132,4.000,9.8831671
1,compute_iterations,15,106,3.000,8.7269979
1,compute_iterations,15,79,2.000,6.780552
1,compute_iterations,15,53,1.000,8.5660711
1,compute_iterations,10,237,5.000,13.2286071
1,compute_iterations,10,198,4.000,11.1734793
1,compute_iterations,10,158,3.000,8.0848748
1,compute_iterations,10,119,2.000,7.7767998
1,compute_iterations,10,79,1.000,6.6770060
1,compute_iterations,5,474,5.000,10.265425
1,compute_iterations,5,395,4.000,56.3062901
1,compute_iterations,5,316,3.000,8.590442
1,compute_iterations,5,237,2.000,10.378559
1,compute_iterations,5,79,1.000,4.797821
1,compute_iterations,1,2366,5.000,10.404744
1,compute_iterations,1,1578,4.000,13.6571379
1,compute_iterations,1,1578,3.000,8.7145549
1,compute_iterations,1,789,2.000,7.257792
1,compute_iterations,1,790,1.000,5.7802288
1,compute_iterations,0,0,5.000,13.4744572
1,compute_iterations,0,0,3.000,3.179033
1,compute_iterations,0,0,2.000,5.1526698
1,compute_iterations,0,0,1.000,8.9665531
2,compute_iterations,20,119,5.000,14.532931
2,compute_iterations,20,99,4.000,16.043848
2,compute_iterations,20,79,3.000,7.9639978
2,compute_iterations,20,60,2.000,12.1638931
2,compute_iterations,20,40,1.000,16.9148412
2,compute_iterations,15,158,5.000,9.8163658
2,compute_iterations,15,132,4.000,12.896114
2,compute_iterations,15,106,3.000,16.167512
2,compute_iterations,15,79,2.000,11.610865
2,compute_iterations,15,53,1.000,7.4000679
2,compute_iterations,10,237,5.000,10.7860837
2,compute_iterations,10,198,4.000,10.2188802
2,compute_iterations,10,158,3.000,7.6338528
2,compute_iterations,10,119,2.000,8.9325448
2,compute_iterations,10,79,1.000,5.5486589
2,compute_iterations,5,474,5.000,10.431440
2,compute_iterations,5,395,4.000,10.346511
2,compute_iterations,5,316,3.000,8.523348
2,compute_iterations,5,237,2.000,7.9464872
2,compute_iterations,5,158,1.000,6.1814902
2,compute_iterations,1,2366,5.000,9.818561
2,compute_iterations,1,1972,4.000,9.0810642
2,compute_iterations,1,1578,3.000,7.448583
2,compute_iterations,1,1184,2.000,10.9203198
2,compute_iterations,1,790,1.000,6.645449
2,compute_iterations,0,0,5.000,7.129842
2,compute_iterations,0,0,4.000,4.006542
2,compute_iterations,0,0,3.000,5.123013
2,compute_iterations,0,0,2.000,3.523695
2,compute_iterations,0,0,1.000,5.1433428
3,compute_iterations,20,119,5.000,11.038669
3,compute_iterations,20,79,4.000,9.321233
3,compute_iterations,20,79,3.000,7.6489098
3,compute_iterations,20,60,2.000,6.2410412
3,compute_iterations,20,40,1.000,7.0186452
3,compute_iterations,15,132,4.000,8.6235128
3,compute_iterations,15,106,3.000,9.305413
3,compute_iterations,15,79,2.000,6.457956
3,compute_iterations,15,53,1.000,5.066433
3,compute_iterations,10,237,5.000,11.4167202
3,compute_iterations,10,198,4.000,8.3120472
3,compute_iterations,10,158,3.000,7.413096
3,compute_iterations,10,79,2.000,5.278528
3,compute_iterations,10,79,1.000,5.3833821
3,compute_iterations,5,474,5.000,8.8737878
3,compute_iterations,5,395,4.000,10.0499698
3,compute_iterations,5,316,3.000,9.999055
3,compute_iterations,5,237,2.000,6.940860
3,compute_iterations,5,158,1.000,9.1993428
3,compute_iterations,1,2366,5.000,17.9221762
3,compute_iterations,1,1972,4.000,9.781626
3,compute_iterations,1,1578,3.000,10.352994
3,compute_iterations,1,790,2.000,5.094685
3,compute_iterations,1,790,1.000,5.8765108
3,compute_iterations,0,0,5.000,7.330888
3,compute_iterations,0,0,4.000,8.598049
3,compute_iterations,0,0,3.000,4.730743
3,compute_iterations,0,0,2.000,5.376611
3,compute_iterations,0,0,1.000,4.7506678
4,compute_iterations,20,119,5.000,9.9216959
4,compute_iterations,20,99,4.000,13.554011
4,compute_iterations,20,79,3.000,8.00011
4,compute_iterations,20,60,2.000,12.0709886
4,compute_iterations,20,40,1.000,8.377506
4,compute_iterations,15,158,5.000,12.444528
4,compute_iterations,15,106,4.000,10.960896
4,compute_iterations,15,79,3.000,8.331586
4,compute_iterations,15,79,2.000,7.8620742
4,compute_iterations,15,53,1.000,6.4922030
4,compute_iterations,10,237,5.000,19.568038
0,compute_iterations,0,0,5.000,17.0251788
0,compute_iterations,0,0,4.000,21.745388
0,compute_iterations,0,0,3.000,3.234173
0,compute_iterations,0,0,1.000,3.2834098
0,compute_iterations,1,2366,5.000,11.189189
0,compute_iterations,1,1972,4.000,11.9031078
0,compute_iterations,1,1578,3.000,8.6630883
0,compute_iterations,1,1184,2.000,9.696242
0,compute_iterations,1,790,1.000,8.268010
0,compute_iterations,2,1184,5.000,10.400024
0,compute_iterations,2,987,4.000,14.007488
0,compute_iterations,2,790,3.000,8.0933302
0,compute_iterations,2,593,2.000,7.0337081
0,compute_iterations,2,198,1.000,5.3332832
0,compute_iterations,3,790,5.000,10.3209511
0,compute_iterations,3,658,4.000,30.9522619
