run,method,depth,iterations,inner_time,outer_time
2,compute_iterations,1,638,19.500,23.7319738
2,compute_iterations,1,696,20.000,23.6056399
2,compute_iterations,2,162,10.000,15.5207177
2,compute_iterations,2,203,10.500,16.1660941
2,compute_iterations,2,168,11.000,14.4538605
2,compute_iterations,2,210,11.500,16.9065940
2,compute_iterations,2,199,12.000,16.3318118
2,compute_iterations,2,196,12.500,16.546007
2,compute_iterations,2,232,13.000,17.1024785
2,compute_iterations,2,194,13.500,17.5201969
2,compute_iterations,2,244,14.000,19.0260365
2,compute_iterations,2,219,14.500,19.5956578
2,compute_iterations,2,207,15.000,19.741010
2,compute_iterations,2,282,15.500,21.0177678
2,compute_iterations,2,286,16.000,21.3563597
2,compute_iterations,2,310,16.500,20.543054
2,compute_iterations,2,274,17.000,21.7361004
2,compute_iterations,2,266,17.500,21.7637757
2,compute_iterations,2,312,18.000,22.0404525
2,compute_iterations,2,364,18.500,23.5729908
2,compute_iterations,2,336,19.000,23.4445142
2,compute_iterations,2,303,19.500,24.9473128
2,compute_iterations,2,333,20.000,27.6768778
2,compute_iterations,3,92,10.000,13.1387122
2,compute_iterations,3,110,10.500,16.3042050
2,compute_iterations,3,135,11.000,19.540118
2,compute_iterations,3,117,11.500,16.851433
2,compute_iterations,3,148,12.000,16.2030993
2,compute_iterations,3,110,12.500,17.9458670
2,compute_iterations,3,148,13.000,16.9763021
2,compute_iterations,3,172,13.500,17.4043713
2,compute_iterations,3,150,14.000,18.0251545
2,compute_iterations,3,158,14.500,19.2377765
2,compute_iterations,3,194,15.000,19.6600323
2,compute_iterations,3,196,15.500,20.0187181
2,compute_iterations,3,204,16.000,22.1232796
2,compute_iterations,3,191,16.500,19.4990840
2,compute_iterations,3,185,17.000,20.6364265
2,compute_iterations,3,188,17.500,21.9049897
2,compute_iterations,3,199,18.000,22.1230433
2,compute_iterations,3,184,18.500,21.7964835
2,compute_iterations,3,185,19.000,24.1608045
2,compute_iterations,3,210,19.500,23.4748638
2,compute_iterations,3,235,20.000,24.0055918
2,compute_iterations,4,82,10.000,13.8362744
2,compute_iterations,4,84,10.500,14.5632756
2,compute_iterations,4,111,11.000,15.0112576
2,compute_iterations,4,85,11.500,14.5774146
2,compute_iterations,4,104,12.000,18.6943934
2,compute_iterations,4,116,12.500,17.0669642
2,compute_iterations,4,103,13.000,18.2982626
2,compute_iterations,4,120,13.500,18.1985671
2,compute_iterations,4,135,14.000,17.8394561
2,compute_iterations,4,130,14.500,19.6999483
2,compute_iterations,4,111,15.000,22.5597315
2,compute_iterations,4,128,15.500,20.3817886
2,compute_iterations,4,137,16.000,20.8927632
2,compute_iterations,4,127,16.500,20.5839158
2,compute_iterations,4,124,17.000,22.4547317
2,compute_iterations,4,123,17.500,22.6990057
2,compute_iterations,4,156,18.000,22.1796351
2,compute_iterations,4,167,18.500,23.0812363
2,compute_iterations,4,161,19.000,22.4866922
2,compute_iterations,4,146,19.500,26.3753333
2,compute_iterations,4,167,20.000,26.394157
3,compute_iterations,1,356,10.000,16.143359
3,compute_iterations,1,434,10.500,17.7554183
3,compute_iterations,1,457,11.000,15.0192065
3,compute_iterations,1,370,11.500,16.2091036
3,compute_iterations,1,426,12.000,16.9647694
3,compute_iterations,1,378,12.500,19.5213153
3,compute_iterations,1,384,13.000,16.9247573
3,compute_iterations,1,315,13.500,17.2177189
3,compute_iterations,1,440,14.000,18.2123335
3,compute_iterations,1,451,14.500,18.366307
3,compute_iterations,1,507,15.000,19.3226060
3,compute_iterations,1,476,15.500,20.058799
3,compute_iterations,1,524,16.000,22.226664
3,compute_iterations,1,557,16.500,21.0894716
3,compute_iterations,1,593,17.000,23.255182
3,compute_iterations,1,636,17.500,21.527878
3,compute_iterations,1,613,18.000,22.0366757
3,compute_iterations,1,615,18.500,24.1833037
3,compute_iterations,1,614,19.000,23.3712699
3,compute_iterations,1,608,19.500,23.5489154
3,compute_iterations,1,658,20.000,24.4222043
3,compute_iterations,2,184,10.000,15.3108146
3,compute_iterations,2,168,10.500,14.1760903
3,compute_iterations,2,142,11.000,15.5195905
3,compute_iterations,2,167,11.500,15.7616553
3,compute_iterations,2,118,12.000,18.1617597
3,compute_iterations,2,190,12.500,16.2359387
3,compute_iterations,2,185,13.000,17.2330296
3,compute_iterations,2,240,13.500,16.894317
3,compute_iterations,2,210,14.000,17.8737297
3,compute_iterations,2,262,14.500,19.2591181
3,compute_iterations,2,235,15.000,23.6110765
3,compute_iterations,2,290,15.500,20.0545333
3,compute_iterations,2,259,16.000,20.5887570
3,compute_iterations,2,267,16.500,21.2744105
3,compute_iterations,2,299,17.000,21.3509961
3,compute_iterations,2,309,17.500,22.4841337
3,compute_iterations,2,288,18.000,22.8783315
3,compute_iterations,2,313,18.500,22.130163
3,compute_iterations,2,264,19.000,22.1852422
3,compute_iterations,2,296,19.500,23.8098275
3,compute_iterations,2,311,20.000,23.2029689
3,compute_iterations,3,94,10.000,14.1043956
3,compute_iterations,3,119,10.500,16.1036682
3,compute_iterations,3,126,11.000,16.6011097
3,compute_iterations,3,120,11.500,15.9814462
3,compute_iterations,3,153,12.000,18.5857308
3,compute_iterations,3,121,12.500,16.1934264
3,compute_iterations,3,154,13.000,17.3828094
3,compute_iterations,3,175,13.500,17.8665940
3,compute_iterations,3,167,14.000,17.7815714
3,compute_iterations,3,158,14.500,18.4108319
3,compute_iterations,3,186,15.000,19.2817765
3,compute_iterations,3,179,15.500,19.5494511
3,compute_iterations,3,136,16.000,21.8521945
3,compute_iterations,3,164,16.500,20.0607856
3,compute_iterations,3,187,17.000,22.947303
3,compute_iterations,3,193,17.500,22.3061533
3,compute_iterations,3,157,18.000,22.8293197
3,compute_iterations,3,177,18.500,25.1527128
